titre,numéro,mots_clefs,catégorie
Des jardins sous terre,15/04/1986,"Mines -- Québec (Province)
Hydroponie
Tomates
Horticulture -- Québec (Province)
Jardinage",
Les Pays-Bas contre vents et marées,15/04/1986,"Aménagement du territoire -- Pays-Bas -- Histoire
Polders -- Pays-Bas
Technologie hydraulique
Travaux maritimes -- Pays-Bas
Travaux maritimes -- Pays-Bas -- Histoire
Aménagement du territoire -- Pays-Bas",
"L'ordinateur, dans la boule de cristal",15/04/1986,"Micro-ordinateurs
Informatique",
L'aspartame sur la sellette,15/04/1986,"Aspartame
Edulcorants artificiels -- Aspect de la santé",
"Gagnon, l'enterrement d'une ville",15/04/1986,"Environnement -- Québec (Province)
Villes -- Fermeture
Gagnon (Québec)",
L'holographie parmi nous,15/04/1986,"Holographie
Optique",
Energie éolienne,15/04/1986,"Energie éolienne -- Québec (Province)
Éoliennes
Vents",
SIDA,15/03/1986,"Sida -- Transmission
Sida -- Prévention",
Le Canada s'envole de nouveau,15/03/1986,"MacLean, Steve
Astronautes
Astronautique -- Canada
Navettes spatiales
Vision par ordinateur",
"Cet été, c'est Vancouver",15/03/1986,"Expo 86 (Vancouver, Colombie-Britannique)
Transport
Expositions internationales -- Colombie-Britannique -- Vancouver
Communications",
Drame dans l'espace,15/03/1986,"Challenger (Navette spatiale)
NASA (États-Unis)
Navettes spatiales
Programme spatial -- États-Unis
Navettes spatiales -- Accidents",
Les non-fumeurs à l'offensive,15/03/1986,"Tabagisme
Non-fumeurs",
De l'amiante pour dépolluer,15/03/1986,"Dunnigan, Jacques
Ménard, Hugues
Amiante
Pollution industrielle, Lutte contre la
Filtres",
La ligue majeure des chercheurs,15/03/1986,"Mustard, Fraser
Canadian institute for advanced research
Recherche -- Canada
Technologie -- Recherche -- Canada
Scientifiques -- Canada",
A la barre du virage santé,15/03/1986,"Blanchet, Madeleine
Québec (Province). Conseil des affaires sociales et de la famille
Médecins
Femmes médecins
Santé publique -- Québec (Province)",
La seconde naissance de l'île Blanche,15/03/1986,"Écosystèmes
Ecologie -- Québec (Province)
Faune -- Habitat
Ile Blanche",
L'informatique aux oubliettes?,15/03/1986,"Sciences -- Vulgarisation
Sciences -- Périodiques
Informatique -- Documentation",
Un pas pour le dépistage,15/03/1986,"Dussault, Jean H
Dépistage (Médecine)
Hypothyroïdie
Enfants -- Santé
Médecine préventive
Diagnostics biologiques",
Un trésor paléontologique mis au jour,15/03/1986,"Olsen, Paul
Shubin, Neil
Paléontologie -- Nouvelle-Ecosse
Fossiles",
SIDA,15/03/1986,"Lymphocytes
Système immunitaire
Virus du sida
Sida",
Et le Québec surgit des glaces,15/02/1986,"Géologie -- Québec (Province)
Glaciations
Géographie physique -- Québec (Province)
Paléogéographie -- Québec (Province)
Glaciers
Epoque glaciaire",
Les sculptures sosies,15/02/1986,"Bourbon, Michel
Moulage
Silicones
Objets d'art
Sculpture
Art",
LOGO,15/02/1986,"Éducation des enfants
Informatique -- Etude et enseignement -- Québec (Province)
Langages de programmation
LOGO (Langage de programmation)",
De l'amiante norvégien à Bécancour,15/02/1986,"Norsk Hydro (Firme)
Magnésium
Chlorure de magnésium
Amiante -- Industrie -- Québec (Province)
Résidus (Minéralurgie)
Amiante -- Recherche -- Québec (Province)",
René Beaulieu sur la piste des ondes,15/02/1986,"Beaulieu, René
Scientifiques -- Québec (Province)
Optique -- Recherche -- Québec (Province)
Holographie
Lasers
Physiciens",
Université-industrie,15/02/1986,"Recherche industrielle -- Canada
Entreprises canadiennes
Universités canadiennes
Relations industries-universités
Canada -- Industrie",
L'oeil indiscret des graphologues,15/02/1986,"Graphologie et travail
Ecriture
Personnalité
Employeurs
Personnel -- Sélection",
La vie secrète des fromages,15/02/1986,"Fromage -- Industrie et commerce
Bactéries
Micro-organismes",
Archéologie,15/02/1986,"Epaves -- Québec (Province)
Fouilles sous-marines (Archéologie) -- Québec (Province)
Bateaux à vapeur",
Le zèbre dont la mère est une jument,15/02/1986,"Reproduction animale assistée, Techniques de
Espèces en danger
Embryons -- Transplantation
Biotechnologie",
Quand les médecins pitonnent... un peu,15/02/1986,"Médecine -- Informatique -- Québec (Province)
Médecins
Médecins généralistes",
Sur des charbons ardents,15/02/1986,"Chaleur
Leidenfrost, Effet
Physique
Braises",
Les électrotechnologies,15/02/1986,"Électricité
Industrie -- Québec (Province)
Electrotechnologies",
Alerte rouge aux MTS,15/01/1986,"Infections transmissibles sexuellement
Jeunesse
Dépistage (Médecine)
Santé publique -- Québec (Province)
Pathologie humaine",
Du caviar à la québécoise,15/01/1986,"Caviar
Esturgeon jaune
Esturgeons -- Pêche commerciale",
Quand la tornade frappe,15/01/1986,Tornades,
Des moutons et... des forêts,15/01/1986,Forêts -- Exploitation -- Nouvelle-Zélande,
Les charmes d'Uranus dévoilés,15/01/1986,"Planètes
Sondes spatiales
Voyager (Sondes spatiales)
Uranus (Planète)
Espace extra-atmosphérique -- Exploration",
Des dragons plein la tête,15/01/1986,"Donjons et dragons (Jeu)
Suicide chez les jeunes
Jeux de rôle (Jeux de société)
Jeux de simulation -- Aspect psychologique",
Whisky en boule,15/01/1986,"Matière -- Effets de la microgravité sur
Liquides
Sphère
Fluides, Mécanique des",
La cave à vin du Canada,15/01/1986,"Vin
Viticulture -- Ontario
Innovations",
La Mecque de l'océanographie,15/01/1986,"Précipitations acides (Météorologie)
Calmars
Biologie marine -- Recherche -- Etats-Unis
Océanographie -- Recherche -- Etats-Unis
Escargots",
L'INRS et la recherche en océanologie,15/01/1986,"INRS (Québec)
Océanographie -- Recherche -- Québec (Province)",
Où s'en va le monde?,15/01/1986,"Creusot, Daniel
Bertolino, Daniel
Servan-Schreiber, Jean-Jacques
Défi mondial (Emission de télévision)
Séries télévisées",
Pour croquer à belles dents,15/01/1986,"Osséointégration
Implants (Dentisterie)
Prothèses dentaires
Dentisterie",
Le retour de l'hélice,15/01/1986,"Hélices (Aéronautique)
Avions -- Moteurs
Aéronautique
Propfan",
Le Limnos scrute le Saint-Laurent,15/01/1986,"Limnos (Navire)
Pollution industrielle
Pollution de l'eau
Environnement -- Canada
Saint-Laurent (Fleuve) -- Pollution",
Athlètes sous hypnose,15/12/1985,"Hypnothérapie
Compétitions (Sports) -- Aspect psychologique
Visualisation, Technique de (Psychologie)
Anxiété -- Traitement
Imagerie",
Le thé,15/12/1985,"Thé
Boissons
Consommation (Économie politique)
Caféine",
Une terminologie normalisée pour les lignes aériennes de transport et de distribution d'électricité,15/12/1985,"Hydro-Québec (Firme)
Lignes électriques
Electricité -- Transport
Électricité -- Distribution
Électricité
Electrotechnique -- Terminologie",
Loisirs,15/12/1985,"Simard, Luc
Loisirs scientifiques
Sciences -- Québec (Province)
Sciences -- Expositions
Astronomes amateurs",
Un ici ailleurs,15/12/1985,"Genest, Serge
Anthropologie -- Recherche -- Québec (Province)
Anthropologues
Ethnologie -- Recherche -- Québec (Province)
Scientifiques -- Québec (Province)",
Un nouveau lancement de disque,15/12/1985,"Équipement informatique
Périphériques (Informatique)
Disques optiques numériques
Systèmes d'information",
Ce que vous pensez de la science,15/12/1985,"Sciences -- Québec (Province)
Technologie -- Québec (Province)
Sondages d'opinion",
L'homme des quarks,15/12/1985,"Gell-Mann, Murray
Particules (Physique nucléaire)
Physique des particules
Physiciens
Quarks
Interactions fondamentales",
Les composites prennent leur envol,15/12/1985,"Aérospatiale (Ingénierie)
Composites
Avions -- Conception et construction",
Le médecin chercheur,15/12/1985,"Médecins
Scientifiques
Médecine -- Recherche
Biomédecine -- Recherche
Professions",
Filtrer le canal Lachine,15/12/1985,"Pollution industrielle
Environnement -- Québec (Province)
Eaux usées -- Epuration -- Filtration
Pollution de l'eau
Géotextiles
Lachine, Canal de (Québec)",
"L'Alberta, paradis des dinosaures",15/12/1985,"Royal Tyrrell Museum of Paleontology (Drumheller, Alberta)
Fossiles
Paléontologie -- Musées -- Alberta
Dinosaures
Sites paléontologiques -- Alberta
Parc Dinosaur -- Alberta",
Une histoire d'amour... piégée,15/12/1985,"Jobin, Luc
Phéromones
Pièges à insectes
Insectes nuisibles, Lutte biologique contre les
Tordeuse des bourgeons de l'épinette, Lutte biologique contre la",
"Les photos restent, les couleurs s'envolent...",15/12/1985,"Films (Pellicules photographiques)
Diapositives
Couleur
Développement photographique
Photographie
Tirages photographiques",
Infopuq,15/11/1985,"Picard, François
INFOPUQ (Système d'information)
Bases de données
Communication par ordinateur
Télématique -- Québec (Province)",
"Kourou, de la jungle à l'espace",15/11/1985,"Agence spatiale européenne
Centre spatial guyanais (Kourou, Guyane française)
Ariane (Fusées)
Programme spatial -- Europe
Lanceurs (Astronautique) -- Europe",
L'INRS-Education et le devenir de la jeunesse,15/11/1985,"INRS (Québec)
Éducation -- Recherche -- Québec (Province)
Jeunesse québécoise",
Une comète à vendre,15/11/1985,"Astronautique
Astronomie -- Observations
Comètes
Sondes spatiales
Halley, Comète de
Espace extra-atmosphérique -- Exploration",
Une étoile qui se dégonfle,15/11/1985,"Étoiles
Astrophysique
Etoiles -- Amas",
"Demain, le domestique électronique",15/11/1985,"Robotique
Mini-robots
Robots domestiques",
Le Centre de recherches minérales (C.R.M.),15/11/1985,"Québec (Province). Ministère de l'Energie et des Ressources
Centre de recherches minérales (Québec)
Mines -- Recherche -- Québec (Province)
Minerais
Minéraux
Mines -- Industrie -- Recherche -- Québec (Province)
Or",
Informatique,15/11/1985,"Informatique -- Recherche
Intelligence artificielle
Informatique -- Industrie
Ordinateurs",
Robots,15/11/1985,"Robots industriels
Robotisation
Virage technologique
Robotique -- Québec (Province)
Systèmes flexibles de fabrication
Automatisation",
Comment ils ont retrouvé le Titanic,15/11/1985,"Titanic, Naufrage du paquebot, 1912
Épaves
Sonars
SAR (Système acoustique)
Argo (Système optique)
Paquebots",
"Quand les Français \pitonnent\""""",15/11/1985,"Minitel (Service télématique)
Vidéotex
Télématique -- France
Annuaires électroniques",
Une micro-informatique en crise? Quelle crise?,15/11/1985,Informatique -- Industrie,
Un détecteur de proximité protège personnes et équipements près des lignes électriques,15/11/1985,"Institut de recherche d'Hydro-Québec
Lignes électriques
Détecteurs de proximité
Santé et sécurité du travail -- Québec (Province)
Appareils électroniques",
La recette du bébé-éprouvette,15/11/1985,"Fécondation in vitro
Procréation médicalement assistée
Enfants conçus par procréation médicalement assistée",
Slowpoke scrute Napoléon,15/10/1985,"Napoléon Ier, empereur des Français
Empoisonnement (Droit pénal)
Slowpoke (Réacteurs nucléaires)
Rois et souverains -- France -- Biographies
Rois et souverains -- France -- Mort et sépulture",
Histoires d'eau,15/10/1985,"Bourassa, Robert
Grand canal (Projet : Québec)
Eau -- Québec (Province) -- Exportations et importations
Eau -- Etats-Unis -- Exportations et importations
Ressources en eau -- Exploitation -- Québec (Province)",
"Boston, ville de science",15/10/1985,"Technologie de pointe -- Etats-Unis
Villes américaines
Sciences -- Etats-Unis
Aménagement urbain -- Etats-Unis
Boston (Etats-Unis)",
K.O. pour le cerveau,15/10/1985,"Mise hors de combat
Cerveau
Knock-out
Sports de combat
Boxe",
A l'INRS-Urbanisation,15/10/1985,"INRS (Québec)
Urbanisation -- Recherche -- Québec (Province)",
Les enfants de Dalton,15/10/1985,"Daltonisme
Dyschromatopsie
Vision des couleurs",
"Mon cher BASIC, c'est à ton tour...",15/10/1985,"BASIC (Langage de programmation)
Langages de programmation
Programmation (Informatique)",
La situation de l'industrie minérale au Québec,15/10/1985,"Québec (Province). Ministère de l'Energie et des Ressources
Industrie minérale -- Québec (Province)
Minéraux",
Le Canada étend son bras,15/10/1985,"Industries aérospatiales -- Canada
Stations spatiales
Télémanipulateurs
Télécommunications -- Canada
Astronautique -- Canada
Espace extra-atmosphérique -- Exploration",
Les lumières de la nuit,15/10/1985,"Bioluminescence
Fluorescence
Nature
Luminescence",
La pilule au masculin,15/10/1985,"Contraceptifs oraux
Contraception masculine -- Recherche
Régulation des naissances
Reproduction humaine -- Recherche
Spermatozoïdes",
Faudra-t-il vider le Sahel?,15/10/1985,"Hare, F. Kenneth
Sécheresses
Climatologie -- Sahel
Désertification
Sahel",
La seconde jeunesse des rives,15/10/1985,"Environnement -- Québec (Province)
Pollution industrielle
Rives -- Aménagement -- Québec (Province) -- Boucherville
Saint-Laurent (Fleuve)",
Le fil de la lumière,15/08/1986,"Fibres optiques
Télécommunications optiques -- Canada",
Le vélo qui grimpe vite,15/08/1986,"Bicyclettes
Cyclisme",
Expo 86,15/08/1986,"Expo 86 (Vancouver, Colombie-Britannique)
Transport
Expositions internationales -- Colombie-Britannique -- Vancouver
Communications
Trains à sustentation magnétique",
Le bon arbre au bon endroit,15/08/1986,"Arbres
Architecture du paysage
Plantation
Aménagement urbain",
Les voltigeurs du golfe,15/08/1986,Dauphins -- Moeurs et comportement,
Vers un vaccin,15/08/1986,"Méningite -- Prévention
Vaccins contre la méningite
Méningite -- Recherche",
L'art d'insulter les fleurs,15/08/1986,"Plantes -- Nomenclature
Botanique -- Histoire",
La toundra s'en va en fumée,15/08/1986,"Toundra
Déboisement
Forêts -- Incendies",
Au coeur de la comète,15/08/1986,"Comètes
Sondes spatiales
Noyaux cométaires
Halley, Comète de
Espace extra-atmosphérique -- Exploration",
Spectaculaire Uranus,15/08/1986,"Planètes
Voyager (Sondes spatiales)
Sondes spatiales
Anneaux planétaires
Uranus (Planète)",
L'art d'insulter les fleurs,15/07/1986,"Botanique -- Histoire
Plantes -- Nomenclature",
Ça cogne dur chez les pee-wee,15/07/1986,"Hockey
Sports d'équipe
Hockeyeurs
Violence dans les sports
Mises en échec",
"René Racine, la tête dans les étoiles",15/07/1986,"Racine, René
Astronomie
Astronomes",
Le syndrome de l'ennemi,15/07/1986,"Cappon, Paul
Guerre nucléaire
Population -- Psychologie",
Mystère au berceau,15/07/1986,"Mort subite chez le nourrisson
Bébés
Enfants -- Mortalité
Apnée
Pédiatrie",
Construction,15/07/1986,"Maisons préfabriquées
Construction -- Industrie",
Le Québec à l'heure de la cartographie numérique,15/07/1986,"Cartographie -- Québec (Province)
Cartographie -- Informatique",
Les rondeurs de l'hérédité,15/07/1986,"Génétique -- Recherche -- Québec (Province)
Hérédité
Diététique -- Recherche -- Québec (Province)
Exercice physique
Obésité",
La France télématique,15/07/1986,"Télématique -- France
Vidéotex
Minitel (Service télématique)",
Cinq alpinistes au pays des Soviets,15/07/1986,"Communisme, Pic
Alpinisme",
Amiante,15/07/1986,"États-Unis. Agence de protection de l'environnement
Amiante
Fibres d'amiante
Amiante -- Industrie -- Québec (Province)",
Les lendemains de Tchernobyl,15/06/1986,"Accidents nucléaires -- Ukraine
Accident nucléaire de Tchernobyl, Ukraine, 1986",
Peut-on remplacer l'amiante?,15/06/1986,"Amiante
Fibres d'amiante
Matériaux",
Gratte-ciel,15/06/1986,"Architecture
Gratte-ciel
Edifices
Immeubles",
Viser l'exportation,15/06/1986,"McDonald, Pierre
Technologie -- Québec (Province)
Exportations -- Québec (Province)
Commerce -- Québec (Province)",
Destination science,15/06/1986,"Loisirs scientifiques
Vacances
Recherche",
